network,agent,phase,sr,mr,ms
X,PPO,zero-shot,0.0,-330.0,nan
X,PPO,few-shot,100.0,218.5,3.0
X,A2C,zero-shot,0.0,-330.0,nan
X,A2C,few-shot,100.0,218.5,3.0
X,DQN,zero-shot,0.0,-330.0,nan
X,DQN,few-shot,100.0,218.5,3.0
Y,PPO,zero-shot,0.0,-330.0,nan
Y,PPO,few-shot,100.0,218.5,3.0
Y,A2C,zero-shot,0.0,-323.0,nan
Y,A2C,few-shot,100.0,218.5,3.0
Y,DQN,zero-shot,0.0,-330.0,nan
Y,DQN,few-shot,0.0,-174.0,nan
Z,PPO,zero-shot,0.0,-330.0,nan
Z,PPO,few-shot,100.0,228.0,4.0
Z,A2C,zero-shot,0.0,-330.0,nan
Z,A2C,few-shot,100.0,228.0,4.0
Z,DQN,zero-shot,0.0,-330.0,nan
Z,DQN,few-shot,0.0,-76.0,nan
